series_name,model_a,model_b,metric,mean_difference,median_difference,num_seeds_model_a_better,num_seeds_model_b_better,practical_tie_flag
5-17 yr,constrained_structure_discovery,deterministic_seir,test_mae,-0.03649323261755246,-0.0350265933269611,5,0,False
5-17 yr,constrained_structure_discovery,fractional_seir,test_mae,-0.020805458639335882,-0.0313878929831229,4,1,False
5-17 yr,constrained_structure_discovery,hospitalized_seihr,test_mae,-0.01855456496081952,-0.0177601660537827,5,0,False
5-17 yr,constrained_structure_discovery,probabilistic_seir,test_mae,-0.02690280407846814,-0.026265678755550602,5,0,False
5-17 yr,delayed_observation_seir,deterministic_seir,test_mae,0.0008216312820322591,-0.00017534998699759996,3,2,True
5-17 yr,delayed_observation_seir,fractional_seir,test_mae,0.016509405260248838,0.004618415934912801,2,3,False
5-17 yr,delayed_observation_seir,hospitalized_seihr,test_mae,0.0187602989387652,0.017037380377079796,0,5,False
5-17 yr,delayed_observation_seir,probabilistic_seir,test_mae,0.010412059821116579,0.008652125719850301,0,5,False
5-17 yr,deterministic_seir,fractional_seir,test_mae,0.01568777397821658,3.509755305929757e-05,1,4,False
5-17 yr,deterministic_seir,hospitalized_seihr,test_mae,0.01793866765673294,0.017212730364077396,0,5,False
5-17 yr,deterministic_seir,probabilistic_seir,test_mae,0.00959042853908432,0.0087287201984588,0,5,False
5-17 yr,fractional_seir,hospitalized_seihr,test_mae,0.00225089367851636,0.0167116811917737,2,3,False
5-17 yr,fractional_seir,probabilistic_seir,test_mae,-0.00609734543913226,0.0086586595968349,2,3,False
5-17 yr,hospitalized_seihr,probabilistic_seir,test_mae,-0.00834823911764862,-0.008379141345315703,5,0,False
50-64 yr,constrained_structure_discovery,delayed_observation_seir,rolling_mean_mae,-0.000980053922437621,0.002050355202103102,1,4,True
50-64 yr,constrained_structure_discovery,deterministic_seir,rolling_mean_mae,-0.002136534834905379,0.001399946971465997,1,4,False
50-64 yr,constrained_structure_discovery,fractional_seir,rolling_mean_mae,-0.0831774906733113,-0.08815899307255648,5,0,False
50-64 yr,constrained_structure_discovery,hospitalized_seihr,rolling_mean_mae,-0.0030583786938380166,-0.0019860848807900996,4,1,False
50-64 yr,constrained_structure_discovery,probabilistic_seir,rolling_mean_mae,-0.008921931097833258,-0.008792382838382497,5,0,False
50-64 yr,delayed_observation_seir,deterministic_seir,rolling_mean_mae,-0.0011564809124677583,-0.0006746852486542027,5,0,False
50-64 yr,delayed_observation_seir,fractional_seir,rolling_mean_mae,-0.08219743675087368,-0.09028008082468798,5,0,False
50-64 yr,delayed_observation_seir,hospitalized_seihr,rolling_mean_mae,-0.0020783247714003957,-0.003925482163462696,4,1,False
50-64 yr,delayed_observation_seir,probabilistic_seir,rolling_mean_mae,-0.007941877175395637,-0.010864589363547297,4,1,False
50-64 yr,deterministic_seir,fractional_seir,rolling_mean_mae,-0.08104095583840591,-0.08880173485172968,5,0,False
50-64 yr,deterministic_seir,hospitalized_seihr,rolling_mean_mae,-0.0009218438589326375,-0.0026288266599633,4,1,True
50-64 yr,deterministic_seir,probabilistic_seir,rolling_mean_mae,-0.006785396262927878,-0.0102240957136574,4,1,False
50-64 yr,fractional_seir,hospitalized_seihr,rolling_mean_mae,0.08011911197947327,0.08617290819176639,0,5,False
50-64 yr,fractional_seir,probabilistic_seir,rolling_mean_mae,0.07425555957547804,0.07926628072622151,0,5,False
50-64 yr,hospitalized_seihr,probabilistic_seir,rolling_mean_mae,-0.005863552403995241,-0.006815881183071401,4,1,False
50-64 yr,constrained_structure_discovery,delayed_observation_seir,test_mae,-0.0007815511330928809,-0.0008425043403931035,5,0,True
50-64 yr,constrained_structure_discovery,deterministic_seir,test_mae,-0.0008722395407546018,-0.0008755340310276014,5,0,True
50-64 yr,constrained_structure_discovery,fractional_seir,test_mae,-0.06123259631977309,-0.06509058484437111,5,0,False
50-64 yr,constrained_structure_discovery,hospitalized_seihr,test_mae,-0.000119227427675081,0.00016136601724429933,2,3,True
50-64 yr,constrained_structure_discovery,probabilistic_seir,test_mae,-0.0006124189442514028,-0.0006371095677398034,5,0,True
50-64 yr,delayed_observation_seir,deterministic_seir,test_mae,-9.068840766172093e-05,-5.927019986879528e-05,4,1,True
50-64 yr,delayed_observation_seir,fractional_seir,test_mae,-0.06045104518668021,-0.064248080503978,5,0,False
50-64 yr,delayed_observation_seir,hospitalized_seihr,test_mae,0.0006623237054178,0.0010039044698051044,0,5,True
50-64 yr,delayed_observation_seir,probabilistic_seir,test_mae,0.0001691321888414782,0.00021429555257619637,1,4,True
50-64 yr,deterministic_seir,fractional_seir,test_mae,-0.06036035677901848,-0.0641888103041092,5,0,False
50-64 yr,deterministic_seir,hospitalized_seihr,test_mae,0.0007530121130795209,0.0009864922712389049,0,5,True
50-64 yr,deterministic_seir,probabilistic_seir,test_mae,0.0002598205965031991,0.0002365851663947982,0,5,True
50-64 yr,fractional_seir,hospitalized_seihr,test_mae,0.061113368892097994,0.0652519849737831,0,5,False
50-64 yr,fractional_seir,probabilistic_seir,test_mae,0.06062017737552169,0.0645816711525776,0,5,False
50-64 yr,hospitalized_seihr,probabilistic_seir,test_mae,-0.0004931915165763218,-0.0006703138212055051,4,1,True
>= 65 yr,constrained_structure_discovery,delayed_observation_seir,rolling_mean_mae,-0.03586815062029201,-0.03957398450620642,4,1,False
>= 65 yr,constrained_structure_discovery,deterministic_seir,rolling_mean_mae,-0.0360534069687304,-0.0393500069950119,5,0,False
>= 65 yr,constrained_structure_discovery,fractional_seir,rolling_mean_mae,-0.2520231870895899,-0.232734589518485,5,0,False
>= 65 yr,constrained_structure_discovery,hospitalized_seihr,rolling_mean_mae,-0.06028041729483939,-0.0640173725722811,5,0,False
>= 65 yr,constrained_structure_discovery,probabilistic_seir,rolling_mean_mae,-0.09081779883760988,-0.09522503000159002,5,0,False
>= 65 yr,delayed_observation_seir,deterministic_seir,rolling_mean_mae,-0.00018525634843838957,0.00022397751119451748,2,3,True
>= 65 yr,delayed_observation_seir,fractional_seir,rolling_mean_mae,-0.21615503646929785,-0.23288175900374972,5,0,False
>= 65 yr,delayed_observation_seir,hospitalized_seihr,rolling_mean_mae,-0.024412266674547396,-0.023923934822911885,5,0,False
>= 65 yr,delayed_observation_seir,probabilistic_seir,rolling_mean_mae,-0.05494964821731787,-0.055136530219268204,5,0,False
>= 65 yr,deterministic_seir,fractional_seir,rolling_mean_mae,-0.2159697801208595,-0.23125772420199142,5,0,False
>= 65 yr,deterministic_seir,hospitalized_seihr,rolling_mean_mae,-0.024227010326109005,-0.024278411243281395,5,0,False
>= 65 yr,deterministic_seir,probabilistic_seir,rolling_mean_mae,-0.05476439186887949,-0.05458520386376589,5,0,False
>= 65 yr,fractional_seir,hospitalized_seihr,rolling_mean_mae,0.19174276979475047,0.1955408758697812,0,5,False
>= 65 yr,fractional_seir,probabilistic_seir,rolling_mean_mae,0.16120538825198,0.1769991252566152,0,5,False
>= 65 yr,hospitalized_seihr,probabilistic_seir,rolling_mean_mae,-0.03053738154277048,-0.03121259539635632,5,0,False
>= 65 yr,constrained_structure_discovery,delayed_observation_seir,test_mae,0.006631072915314615,0.009409851174529901,0,5,False
>= 65 yr,constrained_structure_discovery,deterministic_seir,test_mae,0.006676500165692672,0.009478127561013683,0,5,False
>= 65 yr,constrained_structure_discovery,fractional_seir,test_mae,-0.07116141712576793,-0.09307622240650601,3,2,False
>= 65 yr,constrained_structure_discovery,hospitalized_seihr,test_mae,0.002747317431485474,0.0012252414154959035,2,3,False
>= 65 yr,constrained_structure_discovery,probabilistic_seir,test_mae,0.002524743988593517,0.004793795660612096,2,3,False
>= 65 yr,delayed_observation_seir,deterministic_seir,test_mae,4.5427250378057836e-05,8.441109367331168e-05,1,4,True
>= 65 yr,delayed_observation_seir,fractional_seir,test_mae,-0.07779249004108255,-0.1025805745483813,4,1,False
>= 65 yr,delayed_observation_seir,hospitalized_seihr,test_mae,-0.0038837554838291404,-0.002373203535320001,5,0,False
>= 65 yr,delayed_observation_seir,probabilistic_seir,test_mae,-0.004106328926721098,-0.0043960315955094975,5,0,False
>= 65 yr,deterministic_seir,fractional_seir,test_mae,-0.07783791729146061,-0.10256238801339979,4,1,False
