round,repeat,record_key,spec_key,structure_name,fractional,observation_map,delay_weeks,observation_family,num_free_params,num_compartments,train_objective,train_mae,train_rmse,val_mae,val_rmse,val_smape,rolling_val_mean_mae,rolling_val_mean_rmse,multi_split_blocks,multi_split_val_mean_mae,multi_split_val_std_mae,multi_split_penalty,rolling_val_error_std,rolling_val_metrics,stability_penalty,complexity_penalty,complexity_penalty_params,complexity_penalty_compartments,complexity_penalty_fractional,complexity_penalty_observation,complexity_penalty_h_observation,complexity_penalty_delay,complexity_penalty_recurrence,age_prior_penalty,score_policy,score_formula,score,score_used_val_mae,score_used_multi_split,score_used_stability,score_used_complexity,score_used_age_prior,params
1,,SEIHR|fractional=0|obs=I,SEIHR|fractional=0|obs=I,SEIHR,False,I,0,infectious,11,5,1.9006537252630002,0.8876047382616387,1.2974481230144594,0.4392724174569157,0.5104930721535667,0.4567400121331936,0.3626249345289983,0.43891810721717855,3,0.34358429498555687,0.1859991457798819,0.09299957288994096,0.24717834910306993,"{'1': {'mae': 0.399831767970627, 'rmse': 0.47672206365919456, 'smape': 0.4206235579278972}, '2': {'mae': 0.3848228021796039, 'rmse': 0.4694301398454911, 'smape': 0.43152603901807585}, '4': {'mae': 0.3032202334367641, 'rmse': 0.37060211814685007, 'smape': 0.399363169513174}}",0.04943566982061399,0.21000000000000002,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6960195376961118,False,True,True,True,True,"{'b0': 1.5294246522756696, 'b1': 2.1565937216972326, 'b2': -2.7543741277664786, 'sigma': 0.9958941908960077, 'eta': 0.05966306182646552, 'gamma_i': 0.05954406056112628, 'gamma_h': 0.3579622848203222, 'rho': 30.798533866396472, 'S0': 0.8682355272096726, 'E0': 0.01349562503041074, 'I0': 0.01590503134302487, 'H0': 0.1023638164168917, 'R0': 0.0, 'fractional': 0.0}"
1,,SEIAR|fractional=0|obs=I,SEIAR|fractional=0|obs=I,SEIAR,False,I,0,infectious,11,5,1.9165974312984668,0.8864169958251308,1.2968397328079537,0.4387469642452313,0.5100110314444479,0.45627898308195763,0.364068332590837,0.4419656054515508,3,0.34489450990438286,0.1885613435040508,0.0942806717520254,0.2504202925198488,"{'1': {'mae': 0.398944190933207, 'rmse': 0.47579688841035256, 'smape': 0.41988253955536364}, '2': {'mae': 0.38872979904997385, 'rmse': 0.4780055686758737, 'smape': 0.43314393401972917}, '4': {'mae': 0.3045310077893303, 'rmse': 0.3720943592684261, 'smape': 0.4001580338826884}}",0.05008405850396977,0.21000000000000002,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.6992592401603781,False,True,True,True,True,"{'b0': 1.172917354436115, 'b1': 2.4205675049250863, 'b2': -2.6615214456779697, 'sigma': 0.996469972427998, 'p_asym': 0.03547787686207613, 'gamma_i': 0.11924078711625381, 'gamma_a': 0.5951474772798434, 'rho': 30.206963091063272, 'S0': 0.9213097652029202, 'E0': 0.01277577540728269, 'I0': 0.015464280927593202, 'A0': 0.05045017846220403, 'R0': 0.0, 'fractional': 0.0}"
1,,SEIHR|fractional=0|obs=H,SEIHR|fractional=0|obs=H,SEIHR,False,H,0,hospitalized,11,5,1.847804244473284,0.8630748494646201,1.194705417132031,0.4806214043349688,0.5494659749500355,0.49154187322555065,0.38107691031078,0.4590318743748945,3,0.361748177683473,0.1971228777278692,0.0985614388639346,0.25579293612368137,"{'1': {'mae': 0.4305589175842496, 'rmse': 0.5113817733414878, 'smape': 0.44262671616027227}, '2': {'mae': 0.4087416593725274, 'rmse': 0.4948113444695042, 'smape': 0.4505280526957038}, '4': {'mae': 0.30393015397556306, 'rmse': 0.3709025053136915, 'smape': 0.40116353099064145}}",0.05115858722473628,0.21500000000000002,0.11,0.1,0.0,0.0,0.005,0.0,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.7264682037721439,False,True,True,True,True,"{'b0': 4.722552767004873, 'b1': 3.4787666508321395, 'b2': -3.6451921023278184, 'sigma': 0.9961522061571005, 'eta': 0.8915939710064634, 'gamma_i': 0.4536961508663704, 'gamma_h': 0.11719955477336036, 'rho': 41.11134191029052, 'S0': 0.9677650531447791, 'E0': 0.009976299830457152, 'I0': 0.007679957881767817, 'H0': 0.014578689142995939, 'R0': 0.0, 'fractional': 0.0}"
2,,SEIRS|fractional=0|obs=delayed_I|delay=1,SEIRS|fractional=0|obs=delayed_I|delay=1,SEIRS,False,delayed_I,1,delayed,9,4,0.80742036830292,0.5593034094658457,0.7296184280723926,0.42293310707302945,0.4486793152768072,1.025224380008237,0.46689865851579543,0.5389654503217084,3,0.4632330975415816,0.09970694941861932,0.04985347470930966,0.25136221691548294,"{'1': {'mae': 0.5414061224030504, 'rmse': 0.7062701455416087, 'smape': 0.9894378235406972}, '2': {'mae': 0.4091880237609743, 'rmse': 0.43767609791808987, 'smape': 1.0288590941451983}, '4': {'mae': 0.45010182938336146, 'rmse': 0.47295010750542643, 'smape': 1.232965644021725}}",0.05027244338309659,0.185,0.09,0.08,0.0,0.0,0.0,0.005,0.01,-0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.7433590156339879,False,True,True,True,True,"{'b0': -2.1628224303933936, 'b1': 5.010048658681347, 'b2': 0.8617235617436295, 'sigma': 0.9825068165124162, 'gamma': 0.2993764376900609, 'omega': 0.13761222239699644, 'rho': 39.5387653624125, 'S0': 0.9696012089040467, 'E0': 0.013593529874509023, 'I0': 0.0168052612214444, 'R0': 0.0, 'fractional': 0.0}"
1,,SEIR|fractional=0|obs=delayed_I|delay=3,SEIR|fractional=0|obs=delayed_I|delay=3,SEIR,False,delayed_I,3,delayed,8,4,1.8439125195185722,0.8628954571963393,1.2927282144721948,0.43678470675467873,0.5081695244395081,0.4545889344898292,0.44758801082149535,0.6167337643692016,3,0.40951321670297575,0.30497541614580065,0.15248770807290032,0.4136912849806791,"{'1': {'mae': 0.39771520516293446, 'rmse': 0.47442803137782696, 'smape': 0.41896759859821264}, '2': {'mae': 0.3856207365117264, 'rmse': 0.47290934018258884, 'smape': 0.43125017456002346}, '4': {'mae': 0.5594280907898252, 'rmse': 0.9028639215471888, 'smape': 0.5020993509868011}}",0.08273825699613582,0.175,0.08,0.08,0.0,0.0,0.0,0.015,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.8197391817720119,False,True,True,True,True,"{'b0': 1.4672522218041588, 'b1': 2.7416474293528577, 'b2': -1.9152166560405697, 'sigma': 0.9963648481489855, 'gamma': 0.11933670183747572, 'rho': 27.41091631567469, 'S0': 0.9469643451893133, 'E0': 0.029071194475039506, 'I0': 0.02396446033564724, 'R0': 0.0, 'fractional': 0.0}"
1,,SIR|fractional=0|obs=I,SIR|fractional=0|obs=I,SIR,False,I,0,infectious,6,3,1.7556523038504377,0.9020576783333251,1.2738799926812654,0.4532715440073166,0.5236928510234201,0.4686591712218949,0.4836052180274593,0.7439326671446885,3,0.4641252292530999,0.4459044685853037,0.22295223429265185,0.5449634536803755,"{'1': {'mae': 0.409326865714022, 'rmse': 0.4872944114733048, 'smape': 0.4276231281251075}, '2': {'mae': 0.7303709443024101, 'rmse': 1.3649884455216583, 'smape': 0.515937935572118}, '4': {'mae': 0.31111784406594584, 'rmse': 0.37951514443910267, 'smape': 0.4064142680074045}}",0.10899269073607509,0.12,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.005,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,0.9210701542818268,False,True,True,True,True,"{'b0': 1.6513330240160695, 'b1': 0.5132536174760969, 'b2': -2.9823298124207187, 'gamma': 0.11855237303299322, 'rho': 27.55060309317251, 'S0': 0.9728317186782046, 'I0': 0.027168281321795357, 'R0': 0.0, 'fractional': 0.0}"
2,,SEIHR|fractional=1|obs=I,SEIHR|fractional=1|obs=I,SEIHR,True,I,0,infectious,12,5,1.3377684774181053,0.8312749542640422,1.0036906895494733,0.7197117371380202,0.801854677450861,0.6526117276893906,0.6603883495438004,0.8073694178451182,3,0.6250673398961376,0.39243777794334317,0.19621888897167158,0.4601089387574702,"{'1': {'mae': 0.8354762538924009, 'rmse': 0.9806893675189989, 'smape': 0.6966466745669917}, '2': {'mae': 0.633712719005482, 'rmse': 0.8404193528829623, 'smape': 0.5735987101846644}, '4': {'mae': 0.5119760757335184, 'rmse': 0.6009995331333932, 'smape': 0.5729786111543491}}",0.09202178775149406,0.235,0.12,0.1,0.015,0.0,0.0,0.0,0.0,-0.0025,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,1.1458080166193034,False,True,True,True,True,"{'b0': 1.5717282320278467, 'b1': 3.1801326507729724, 'b2': -0.9993872394241293, 'sigma': 0.994527855811285, 'eta': 0.22669118837787655, 'gamma_i': 0.3998409836108195, 'gamma_h': 0.2997184460036306, 'rho': 72.81236414973435, 'alpha': 0.7311760849161523, 'S0': 0.9636865372077952, 'E0': 0.0022676169708628026, 'I0': 0.002945743513849299, 'H0': 0.03110010230749289, 'R0': 0.0, 'fractional': 1.0}"
1,,SEIR|fractional=1|obs=I,SEIR|fractional=1|obs=I,SEIR,True,I,0,infectious,9,4,1.256913625300533,0.7753032884768932,0.9581985183974245,0.581067301190167,0.6390201983840222,0.5750177825448288,0.7008991392732079,0.864865850702102,3,0.6619819005881795,0.4260993229193114,0.2130496614596557,0.4998804343523528,"{'1': {'mae': 0.7573707772062718, 'rmse': 0.9949312577769215, 'smape': 0.6082938438166472}, '2': {'mae': 0.7258983015826099, 'rmse': 0.9058311885940872, 'smape': 0.6335780336776397}, '4': {'mae': 0.6194283390307423, 'rmse': 0.6938351057352973, 'smape': 0.6627808693514069}}",0.09997608687047056,0.185,0.09,0.08,0.015,0.0,0.0,0.0,0.0,-0.0025,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,1.1575076489183058,False,True,True,True,True,"{'b0': 0.16250699633735805, 'b1': 5.315942496631413, 'b2': -1.920728218759116, 'sigma': 0.9920463165752682, 'gamma': 0.5742085904893601, 'rho': 64.71016813596806, 'alpha': 0.7285547969066035, 'S0': 0.9718700371418154, 'E0': 0.0048176674035298244, 'I0': 0.023312295454654706, 'R0': 0.0, 'fractional': 1.0}"
2,,SEIR|fractional=1|obs=delayed_I|delay=2,SEIR|fractional=1|obs=delayed_I|delay=2,SEIR,True,delayed_I,2,delayed,9,4,1.3747410577246484,0.7777676001062601,1.0106101779395842,0.46311840664031656,0.5376763146362407,0.4738334523619496,0.7544387436308305,0.9202242540293722,3,0.7049259422669291,0.41561353598863654,0.20780676799431827,0.5230790565455368,"{'1': {'mae': 0.8070228875160808, 'rmse': 0.9913225854141786, 'smape': 0.653576222304261}, '2': {'mae': 0.7495642872249363, 'rmse': 0.8593208012383049, 'smape': 0.682191763675566}, '4': {'mae': 0.7067290561514741, 'rmse': 0.9100293754356331, 'smape': 0.6548416862520441}}",0.10461581130910735,0.195,0.09,0.08,0.015,0.0,0.0,0.01,0.0,-0.0025,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,1.2098485215703547,False,True,True,True,True,"{'b0': 1.8004987718645455, 'b1': 5.107226915773956, 'b2': -0.29239813153136707, 'sigma': 0.6560594786465525, 'gamma': 0.9987678308066769, 'rho': 115.07591818075738, 'alpha': 0.7360642046843194, 'S0': 0.9865293581817725, 'E0': 0.008619731163738152, 'I0': 0.004850910654489232, 'R0': 0.0, 'fractional': 1.0}"
1,,SEIHR|fractional=0|obs=I+H,SEIHR|fractional=0|obs=I+H,SEIHR,False,I+H,0,joint,11,5,1.0094987857247602,0.622329280813236,0.8296616703927083,1.0859809485004934,1.1355697820727517,0.8689107296753875,0.8003462572068148,0.8828615021190828,3,0.7703832075027496,0.3036483964366887,0.15182419821834434,0.3723612224815002,"{'1': {'mae': 0.7988632174267599, 'rmse': 0.8789237787012097, 'smape': 0.7074830278073204}, '2': {'mae': 0.841839875002721, 'rmse': 0.9384481942280296, 'smape': 0.7547995845559069}, '4': {'mae': 0.7603356791909638, 'rmse': 0.8312125334280085, 'smape': 0.7592357274481181}}",0.07447224449630005,0.21500000000000002,0.11,0.1,0.0,0.005,0.0,0.0,0.0,0.0,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,1.211679650217394,False,True,True,True,True,"{'b0': 2.9335239965434416, 'b1': 2.719363232324061, 'b2': -2.2371546138317444, 'sigma': 0.9767718053894735, 'eta': 0.3029240110425905, 'gamma_i': 0.7959482947186688, 'gamma_h': 0.09206338065717994, 'rho': 62.6152434135175, 'S0': 0.9799510779429295, 'E0': 0.006298615159335456, 'I0': 0.0063657758288680425, 'H0': 0.007384531068867059, 'R0': 0.0, 'fractional': 0.0}"
2,,SEIR|fractional=1|obs=delayed_I|delay=1,SEIR|fractional=1|obs=delayed_I|delay=1,SEIR,True,delayed_I,1,delayed,9,4,1.2569942740982538,0.7787136698527679,0.991578513176368,0.9856200160054026,1.1072617610939421,0.7816086783840395,0.7636881243926985,0.9354455283081969,3,0.7189491223803033,0.4480894889288919,0.22404474446444594,0.539110781487101,"{'1': {'mae': 0.9545507685725212, 'rmse': 1.1353017717452005, 'smape': 0.7216385745708267}, '2': {'mae': 0.7036770462138183, 'rmse': 0.8703678120728037, 'smape': 0.6255912538505155}, '4': {'mae': 0.6328365583917562, 'rmse': 0.8006670011065867, 'smape': 0.6256907182538594}}",0.1078221562974202,0.19,0.09,0.08,0.015,0.0,0.0,0.005,0.0,-0.0025,stability_aware,multi_split_mean_mae + multi_split_penalty + stability_penalty + complexity_penalty + age_prior_penalty,1.2383160231421695,False,True,True,True,True,"{'b0': 2.2120893590706343, 'b1': 3.6496059724613725, 'b2': -2.5909269000567323, 'sigma': 0.9957699862645056, 'gamma': 0.6746368387851438, 'rho': 75.68506783404068, 'alpha': 0.7478866384643333, 'S0': 0.9750240930100031, 'E0': 0.008629145513378718, 'I0': 0.01634676147661814, 'R0': 0.0, 'fractional': 1.0}"
