t,actual,full_fit_prediction,test_forecast_prediction,segment,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95,raw_lower_50,raw_upper_50,raw_lower_80,raw_upper_80,raw_lower_95,raw_upper_95
24,1.9,1.7525289775913013,1.7385235501579903,train,1.4481401825025357,2.0124044432745567,1.4168947944150143,2.0688085125162603,1.1724630706423174,2.1393693270561656,1.4979606329557198,1.9654152869197834,1.418222965495385,2.0674445954925096,1.1015121399590344,2.189611981261107
25,1.7,1.400781854179292,1.4217929232763509,train,1.186238882981038,1.5427799691733126,1.0022253539527757,1.7530992849061295,0.9114102377390932,1.933944596477206,1.2266523835486884,1.5220224816689367,1.0039579649270332,1.7517311499977846,0.8474380512785842,1.9981385106958636
26,1.7,1.3284324489366999,1.327559845347478,train,1.092230387216386,1.6320076396797438,0.9937198867191651,1.681526303131635,0.6189401792223261,1.7020444820189116,1.132605356704672,1.5797741857613063,0.9950984841567545,1.6800645929945417,0.5301206508654366,1.74898298852119
27,1.3,1.112078606318315,1.1234387196763214,train,0.964369875721109,1.4806593834892743,0.6427366709776324,1.643312126770697,0.6235259486742528,1.680738571035246,0.9916609754934588,1.41937180174505,0.6447217377602394,1.6411653012383793,0.5608660781363844,1.7505914304989605
28,0.9,0.9986285867906463,1.0061876455732923,train,0.7080894842501295,1.1850828006909886,0.6314126145030285,1.3259541019802337,0.5561892766164992,1.468968385691657,0.7592335452764049,1.154390143312516,0.6329602539756334,1.3246336212946952,0.4997857574894236,1.526974067773173
29,0.7,0.8716440802909703,0.8798979330421799,train,0.6498540593225104,0.9804175903074779,0.4244825108245643,1.086886418438579,0.1344552967538959,1.2702088158252507,0.6893221924502586,0.9631716486931536,0.4263631560795168,1.0860316561843826,0.04102031810831566,1.3191310094625226
30,0.5,0.7669492411780592,0.7748717310033378,train,0.49186523217279965,0.8018079572369311,0.31542683905904945,0.92918192840231,0.20670604772193024,1.0247934037929025,0.5404200490920844,0.7971865667788565,0.3173241240735528,0.9285447019791992,0.13549124741364765,1.0561189881147657
31,0.4,0.6741408551537386,0.6817018806303201,validation,0.43512610105145677,0.9171096310260587,0.3355381851115188,1.0028746366754766,0.2624529711828898,1.2106114922853706,0.47743057774600295,0.8767212291021507,0.3369676736172971,1.0015483486531362,0.20990363875343332,1.2769058734553258
32,0.3,0.5925758329389047,0.5997540658143703,validation,0.2143357183499302,0.7868679515811339,0.11006040138196033,1.273920911062135,0.0815489994132782,1.6572365746354032,0.2804611160909725,0.7547652242444681,0.11208259918525529,1.2711369283142788,0.016596343157522144,1.7897831326398435
33,0.3,0.520880582689881,0.5276587428068173,validation,0.30972730942396215,0.5875099279530365,0.14086913206711327,0.744546520468657,0.08139765413288325,1.0379439409183366,0.34711733718865323,0.5772413887174163,0.14246638593822822,0.7436508789290474,0.025462571725714266,1.1019039081481516
34,0.3,0.45785986951226654,0.4642301002529424,validation,0.26040768243731605,0.7979257743333077,-0.001924994905779187,0.8211116543903518,0.05170638568915553,0.8541135679223408,0.2953770567166314,0.7406743245302719,0.0,0.8196379063163398,0.0,0.902982188662015
35,0.2,0.40246400271468447,0.4084261245268143,validation,0.21217735675972849,0.5395015983027815,0.19560946647999836,0.6306327307021856,0.0882491458706246,0.7161705569643592,0.24584733617342336,0.5170132609038177,0.1964882962661784,0.6297151249753353,0.048117648546425064,0.754743738954956
36,0.2,0.35377042392164004,0.3593302266126409,validation,0.09232063456240047,0.4899375022325862,0.026855512054024366,0.7218530916695306,0.04002253898849184,0.732529757101487,0.13813089655732172,0.4675294925852519,0.028228471694437197,0.7203560477120353,0.0,0.7793071863284903
37,0.2,0.310968221219391,0.316136031874593,validation,0.1386291403866347,0.47371019719785257,0.061322875149399936,0.525220937195084,0.03521152890654955,0.7712367182592417,0.1690836163570612,0.446675536226829,0.06237513014718021,0.52435751774135,0.0,0.8282797700568503
38,0.2,0.2733446011620187,0.2781341067315317,validation,0.02312661488324047,0.41257041149085993,0.009452771201546528,0.6109289037005929,0.030978838701181732,0.6990048723115901,0.0668777023349598,0.38950546354136784,0.010562295065051795,0.6095546222747573,0.0,0.7517574907965275
39,0.2,0.24027301257303177,0.24470029961884537,validation,0.11093024051544509,0.550958440802785,0.0024928157484809255,0.7229909285996897,0.027254949783415583,0.724798864432953,0.13388088212928576,0.4984143895648279,0.003493015419007524,0.7210158198132963,0.0,0.7849751905075352
40,0.2,0.21120271072081345,0.21528548768799835,validation,0.10436211275185978,0.4575696809506896,-0.0008927113232463368,0.514318563803609,0.023978700333322528,0.6325722239643713,0.12339299785290615,0.4160015024992442,0.0,0.51308370194291,0.0,0.6848756144535472
41,0.1,0.18564958508597773,0.18940655719201316,test,-0.03467165313894949,0.4893717083226803,-0.0007854007258838724,0.6878313113792229,0.021096280686860203,0.7562325249914573,0.0037729639393875233,0.43790733186665987,0.0,0.6857730584014282,0.0,0.8272794032070733
42,0.1,0.1631880971802032,0.16663846846673125,test,-0.03451073697639265,0.3724919508849103,-0.0006909896681204508,0.5201269244871127,0.01856034952601368,0.5225347548475356,0.0,0.33717411121580465,0.0,0.5186671882659323,0.0,0.5671433676357795
43,0.1,0.14344419391198632,0.14660727489384892,test,-0.030362287587259174,0.4475949553443115,-0.0006079275281095642,0.6941634790285397,0.016329256324325025,0.8858447985515847,0.0,0.39595514572996277,0.0,0.6919023369439977,0.0,0.9785020184027183
44,0.1,0.12608907840038677,0.12898398108960088,test,-0.026712512941991617,0.3027018553617798,-0.0005348500805728018,0.4291856958059005,0.0143663572661656,0.6655625245125837,0.0,0.27289745293375045,0.0,0.4279460080334472,0.0,0.7328181419213715
45,0.1,0.11083373446931133,0.11347913940783448,test,-0.02350146858912734,0.2791130092123337,-0.0004705570904455919,0.4101706093642772,0.012639413400160587,1.3207358330649632,0.0,0.25069556206103777,0.0,0.4089454172035869,0.0,1.4720553282218847
46,0.1,0.09742411362491135,0.0998380959943464,test,-0.020676415852757354,0.3741950614371951,-0.0004139925999780969,0.48971696973607226,0.011120061140244608,0.6078197685733175,0.0,0.3271242263763198,0.0,0.48810695870408255,0.0,0.6714910082089948
47,0.1,0.0856369043584979,0.08783680830623185,test,-0.01819095564303856,0.3097400309079609,-0.00036422758549536915,0.39394521459477116,0.009783346417028577,0.4839756548945323,0.0,0.27166857180101683,0.0,0.39268113504519336,0.0,0.5336283348860597
48,0.1,0.07527581331803747,0.07727816539941075,test,-0.016004266389724256,0.1935741841756522,-0.0003204446989559101,0.3250960162273439,0.008607314827959511,0.4925327677179021,0.0,0.1736215261149505,0.0,0.3240726484569187,0.0,0.5445814472692853
49,0.1,0.06616829641688703,0.06798875054662765,test,-0.014080433582097387,0.2612534644820604,-0.0002819248436954913,0.49256836874978815,0.007572651054665064,0.6767365680101919,0.0,0.22809545277254167,0.0,0.49081506043968487,0.0,0.7530379982697502
50,0.1,0.05816268544191831,0.05981599301385831,test,-0.012387859903399988,0.31530235829318576,-0.00024803536387033726,0.4457901038968924,0.006662361625127698,0.65638892018981,0.0,0.2714691115558403,0.0,0.44419621764545175,0.0,0.7311643301244516
51,0.0,0.05112566230976971,0.052625662214994984,test,-0.00799429502182479,0.30852982472467,-0.00021821965361988604,0.3714027770101183,0.005861495810274099,0.4932555927136272,0.002406140789549042,0.26462489741421846,0.0,0.3700863818265568,0.0,0.5484848567006437
