series_name,age_family,model_name,split,horizon,calibration_kind,interval_level,nominal_coverage,empirical_coverage,coverage_gap,abs_coverage_gap,average_interval_width,interval_score_mean,interval_score_median,residual_source_used,calibration_points,pooled_horizons_used,pooled_age_family_used,global_pooling_used,uncertainty_method,uncertainty_draws,artifact_dir
0-4 yr,children,probabilistic_seir,validation,static,raw,95,0.95,0.9,-0.04999999999999993,0.04999999999999993,1.0819662299208812,1.5833247147134024,1.1153458580498992,none,0,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
0-4 yr,children,probabilistic_seir,validation,static,scale_calibrated,95,0.95,0.9,-0.04999999999999993,0.04999999999999993,0.9467204511807712,1.6751946192210205,0.9759276257936618,same_series_static_validation,10,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/0_4_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,test,static,conformal_absolute,50,0.5,1.0,0.5,0.5,0.1687029888002164,0.1687029888002164,0.16471749232188737,same_series_pooled_horizons,26,True,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,test,static,conformal_asymmetric,50,0.5,0.9090909090909091,0.40909090909090906,0.40909090909090906,0.1525272611010645,0.15633365427255594,0.1406320967044342,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,test,static,conformal_standardized,50,0.5,0.8181818181818182,0.31818181818181823,0.31818181818181823,0.12577505965320868,0.132222601631679,0.11291659789972824,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,test,static,raw,50,0.5,0.9090909090909091,0.40909090909090906,0.40909090909090906,0.15170652357053646,0.15878511762484315,0.1406320967044342,none,0,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,test,static,scale_calibrated,50,0.5,0.9090909090909091,0.40909090909090906,0.40909090909090906,0.16495421447164121,0.16971132582484336,0.15409819968047173,same_series_static_validation,10,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,test,static,conformal_absolute,80,0.8,1.0,0.19999999999999996,0.19999999999999996,0.23824141819513603,0.23824141819513603,0.234255921716807,same_series_pooled_horizons,26,True,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,test,static,conformal_asymmetric,80,0.8,1.0,0.19999999999999996,0.19999999999999996,0.24927762734754613,0.24927762734754613,0.2274767357186137,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,test,static,conformal_standardized,80,0.8,1.0,0.19999999999999996,0.19999999999999996,0.20124332454276822,0.20124332454276822,0.17610799968057333,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,test,static,raw,80,0.8,1.0,0.19999999999999996,0.19999999999999996,0.24927762734754613,0.24927762734754613,0.2274767357186137,none,0,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,test,static,scale_calibrated,80,0.8,1.0,0.19999999999999996,0.19999999999999996,0.2542055231295872,0.2542055231295872,0.23161066048351783,same_series_static_validation,10,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,test,static,conformal_absolute,95,0.95,1.0,0.050000000000000044,0.050000000000000044,0.35786127039458315,0.35786127039458315,0.35387577391625413,same_series_pooled_horizons,26,True,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,test,static,conformal_asymmetric,95,0.95,1.0,0.050000000000000044,0.050000000000000044,0.3522832764917988,0.3522832764917988,0.341216141003724,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,test,static,conformal_standardized,95,0.95,1.0,0.050000000000000044,0.050000000000000044,0.2710084850597549,0.2710084850597549,0.25979611020175347,age_family_static,20,True,True,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,test,static,raw,95,0.95,1.0,0.050000000000000044,0.050000000000000044,0.3522832764917988,0.3522832764917988,0.341216141003724,none,0,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,test,static,scale_calibrated,95,0.95,1.0,0.050000000000000044,0.050000000000000044,0.4273136465982729,0.4273136465982729,0.4088854879862439,same_series_static_validation,10,False,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
18-49 yr,adults,probabilistic_seir,validation,static,conformal_absolute,50,0.5,0.2,-0.3,0.3,0.2330823854686283,0.487735011703469,0.43488757763708275,same_series_pooled_horizons,26,True,False,False,bootstrap,30,/scrfs/storage/zwang/home/agentic_flu_model_discovery/artifacts_age_robustness/robustness/18_49_yr/probabilistic_seir
