series_name,season,YEAR,YEAR.1,WEEK,t,CATCHMENT,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,VIRUS TYPE CATEGORY,WEEKLY RATE,CUMULATIVE RATE
2018-19 / Overall,2018-19,2018-19,2019,11,23,Entire Network,Overall,Overall,Overall,Overall,5.5,49.0
2018-19 / Overall,2018-19,2018-19,2019,12,24,Entire Network,Overall,Overall,Overall,Overall,4.8,54.0
2018-19 / Overall,2018-19,2018-19,2019,13,25,Entire Network,Overall,Overall,Overall,Overall,3.6,57.0
2018-19 / Overall,2018-19,2018-19,2019,14,26,Entire Network,Overall,Overall,Overall,Overall,2.7,60.0
2018-19 / Overall,2018-19,2018-19,2019,15,27,Entire Network,Overall,Overall,Overall,Overall,1.8,62.0
2018-19 / Overall,2018-19,2018-19,2019,16,28,Entire Network,Overall,Overall,Overall,Overall,1.1,63.0
2018-19 / Overall,2018-19,2018-19,2019,17,29,Entire Network,Overall,Overall,Overall,Overall,0.6,63.0
2018-19 / Overall,2018-19,2018-19,2019,18,30,Entire Network,Overall,Overall,Overall,Overall,0.2,64.0
2019-20 / Overall,2019-20,2019-20,2019,40,0,Entire Network,Overall,Overall,Overall,Overall,0.1,0.0
2019-20 / Overall,2019-20,2019-20,2019,41,1,Entire Network,Overall,Overall,Overall,Overall,0.1,0.0
2019-20 / Overall,2019-20,2019-20,2019,42,2,Entire Network,Overall,Overall,Overall,Overall,0.2,0.0
2019-20 / Overall,2019-20,2019-20,2019,43,3,Entire Network,Overall,Overall,Overall,Overall,0.2,1.0
2019-20 / Overall,2019-20,2019-20,2019,44,4,Entire Network,Overall,Overall,Overall,Overall,0.2,1.0
2019-20 / Overall,2019-20,2019-20,2019,45,5,Entire Network,Overall,Overall,Overall,Overall,0.3,1.0
2019-20 / Overall,2019-20,2019-20,2019,46,6,Entire Network,Overall,Overall,Overall,Overall,0.4,2.0
2019-20 / Overall,2019-20,2019-20,2019,47,7,Entire Network,Overall,Overall,Overall,Overall,0.6,2.0
2019-20 / Overall,2019-20,2019-20,2019,48,8,Entire Network,Overall,Overall,Overall,Overall,0.9,3.0
2019-20 / Overall,2019-20,2019-20,2019,49,9,Entire Network,Overall,Overall,Overall,Overall,1.3,4.0
2019-20 / Overall,2019-20,2019-20,2019,50,10,Entire Network,Overall,Overall,Overall,Overall,1.7,6.0
2019-20 / Overall,2019-20,2019-20,2019,51,11,Entire Network,Overall,Overall,Overall,Overall,2.4,9.0
2019-20 / Overall,2019-20,2019-20,2019,52,12,Entire Network,Overall,Overall,Overall,Overall,4.5,13.0
2019-20 / Overall,2019-20,2019-20,2020,1,13,Entire Network,Overall,Overall,Overall,Overall,5.3,18.0
2019-20 / Overall,2019-20,2019-20,2020,2,14,Entire Network,Overall,Overall,Overall,Overall,4.5,23.0
2019-20 / Overall,2019-20,2019-20,2020,3,15,Entire Network,Overall,Overall,Overall,Overall,4.2,27.0
2019-20 / Overall,2019-20,2019-20,2020,4,16,Entire Network,Overall,Overall,Overall,Overall,4.6,32.0
2019-20 / Overall,2019-20,2019-20,2020,5,17,Entire Network,Overall,Overall,Overall,Overall,5.3,37.0
2019-20 / Overall,2019-20,2019-20,2020,6,18,Entire Network,Overall,Overall,Overall,Overall,6.0,43.0
2019-20 / Overall,2019-20,2019-20,2020,7,19,Entire Network,Overall,Overall,Overall,Overall,5.0,48.0
2019-20 / Overall,2019-20,2019-20,2020,8,20,Entire Network,Overall,Overall,Overall,Overall,5.0,53.0
2019-20 / Overall,2019-20,2019-20,2020,9,21,Entire Network,Overall,Overall,Overall,Overall,4.4,57.0
2019-20 / Overall,2019-20,2019-20,2020,10,22,Entire Network,Overall,Overall,Overall,Overall,4.0,61.0
2019-20 / Overall,2019-20,2019-20,2020,11,23,Entire Network,Overall,Overall,Overall,Overall,2.8,64.0
2019-20 / Overall,2019-20,2019-20,2020,12,24,Entire Network,Overall,Overall,Overall,Overall,1.3,65.0
2019-20 / Overall,2019-20,2019-20,2020,13,25,Entire Network,Overall,Overall,Overall,Overall,0.3,66.0
2019-20 / Overall,2019-20,2019-20,2020,14,26,Entire Network,Overall,Overall,Overall,Overall,0.1,66.0
2019-20 / Overall,2019-20,2019-20,2020,15,27,Entire Network,Overall,Overall,Overall,Overall,0.1,66.0
2019-20 / Overall,2019-20,2019-20,2020,16,28,Entire Network,Overall,Overall,Overall,Overall,0.1,66.0
2019-20 / Overall,2019-20,2019-20,2020,17,29,Entire Network,Overall,Overall,Overall,Overall,0.0,66.0
2019-20 / Overall,2019-20,2019-20,2020,18,30,Entire Network,Overall,Overall,Overall,Overall,0.0,66.0
2021-22 / Overall,2021-22,2021-22,2021,40,0,Entire Network,Overall,Overall,Overall,Overall,0.0,0.0
2021-22 / Overall,2021-22,2021-22,2021,41,1,Entire Network,Overall,Overall,Overall,Overall,0.0,0.0
2021-22 / Overall,2021-22,2021-22,2021,42,2,Entire Network,Overall,Overall,Overall,Overall,0.0,0.0
2021-22 / Overall,2021-22,2021-22,2021,43,3,Entire Network,Overall,Overall,Overall,Overall,0.0,0.0
2021-22 / Overall,2021-22,2021-22,2021,44,4,Entire Network,Overall,Overall,Overall,Overall,0.0,0.0
2021-22 / Overall,2021-22,2021-22,2021,45,5,Entire Network,Overall,Overall,Overall,Overall,0.1,0.0
2021-22 / Overall,2021-22,2021-22,2021,46,6,Entire Network,Overall,Overall,Overall,Overall,0.1,0.0
2021-22 / Overall,2021-22,2021-22,2021,47,7,Entire Network,Overall,Overall,Overall,Overall,0.2,0.0
2021-22 / Overall,2021-22,2021-22,2021,48,8,Entire Network,Overall,Overall,Overall,Overall,0.3,1.0
2021-22 / Overall,2021-22,2021-22,2021,49,9,Entire Network,Overall,Overall,Overall,Overall,0.4,1.0
2021-22 / Overall,2021-22,2021-22,2021,50,10,Entire Network,Overall,Overall,Overall,Overall,0.6,2.0
2021-22 / Overall,2021-22,2021-22,2021,51,11,Entire Network,Overall,Overall,Overall,Overall,0.7,2.0
2021-22 / Overall,2021-22,2021-22,2021,52,12,Entire Network,Overall,Overall,Overall,Overall,1.0,3.0
2021-22 / Overall,2021-22,2021-22,2022,1,13,Entire Network,Overall,Overall,Overall,Overall,0.6,4.0
2021-22 / Overall,2021-22,2021-22,2022,2,14,Entire Network,Overall,Overall,Overall,Overall,0.4,4.0
2021-22 / Overall,2021-22,2021-22,2022,3,15,Entire Network,Overall,Overall,Overall,Overall,0.3,5.0
2021-22 / Overall,2021-22,2021-22,2022,4,16,Entire Network,Overall,Overall,Overall,Overall,0.2,5.0
2021-22 / Overall,2021-22,2021-22,2022,5,17,Entire Network,Overall,Overall,Overall,Overall,0.2,5.0
2021-22 / Overall,2021-22,2021-22,2022,6,18,Entire Network,Overall,Overall,Overall,Overall,0.2,5.0
2021-22 / Overall,2021-22,2021-22,2022,7,19,Entire Network,Overall,Overall,Overall,Overall,0.2,5.0
2021-22 / Overall,2021-22,2021-22,2022,8,20,Entire Network,Overall,Overall,Overall,Overall,0.3,6.0
2021-22 / Overall,2021-22,2021-22,2022,9,21,Entire Network,Overall,Overall,Overall,Overall,0.3,6.0
2021-22 / Overall,2021-22,2021-22,2022,10,22,Entire Network,Overall,Overall,Overall,Overall,0.4,7.0
2021-22 / Overall,2021-22,2021-22,2022,11,23,Entire Network,Overall,Overall,Overall,Overall,0.6,7.0
2021-22 / Overall,2021-22,2021-22,2022,12,24,Entire Network,Overall,Overall,Overall,Overall,0.7,8.0
2021-22 / Overall,2021-22,2021-22,2022,13,25,Entire Network,Overall,Overall,Overall,Overall,0.9,9.0
2021-22 / Overall,2021-22,2021-22,2022,14,26,Entire Network,Overall,Overall,Overall,Overall,1.1,10.0
2021-22 / Overall,2021-22,2021-22,2022,15,27,Entire Network,Overall,Overall,Overall,Overall,1.1,11.0
2021-22 / Overall,2021-22,2021-22,2022,16,28,Entire Network,Overall,Overall,Overall,Overall,1.2,12.0
2021-22 / Overall,2021-22,2021-22,2022,17,29,Entire Network,Overall,Overall,Overall,Overall,1.2,13.0
2021-22 / Overall,2021-22,2021-22,2022,18,30,Entire Network,Overall,Overall,Overall,Overall,1.1,14.0
2021-22 / Overall,2021-22,2021-22,2022,19,31,Entire Network,Overall,Overall,Overall,Overall,1.0,15.0
2021-22 / Overall,2021-22,2021-22,2022,20,32,Entire Network,Overall,Overall,Overall,Overall,0.8,16.0
2021-22 / Overall,2021-22,2021-22,2022,21,33,Entire Network,Overall,Overall,Overall,Overall,0.6,17.0
2021-22 / Overall,2021-22,2021-22,2022,22,34,Entire Network,Overall,Overall,Overall,Overall,0.5,17.0
2021-22 / Overall,2021-22,2021-22,2022,23,35,Entire Network,Overall,Overall,Overall,Overall,0.3,18.0
2022-23 / Overall,2022-23,2022-23,2022,40,0,Entire Network,Overall,Overall,Overall,Overall,0.4,0.0
2022-23 / Overall,2022-23,2022-23,2022,41,1,Entire Network,Overall,Overall,Overall,Overall,0.6,1.0
2022-23 / Overall,2022-23,2022-23,2022,42,2,Entire Network,Overall,Overall,Overall,Overall,0.9,2.0
2022-23 / Overall,2022-23,2022-23,2022,43,3,Entire Network,Overall,Overall,Overall,Overall,1.7,4.0
2022-23 / Overall,2022-23,2022-23,2022,44,4,Entire Network,Overall,Overall,Overall,Overall,2.5,6.0
2022-23 / Overall,2022-23,2022-23,2022,45,5,Entire Network,Overall,Overall,Overall,Overall,3.2,9.0
2022-23 / Overall,2022-23,2022-23,2022,46,6,Entire Network,Overall,Overall,Overall,Overall,3.9,13.0
2022-23 / Overall,2022-23,2022-23,2022,47,7,Entire Network,Overall,Overall,Overall,Overall,6.9,20.0
2022-23 / Overall,2022-23,2022-23,2022,48,8,Entire Network,Overall,Overall,Overall,Overall,8.7,29.0
2022-23 / Overall,2022-23,2022-23,2022,49,9,Entire Network,Overall,Overall,Overall,Overall,7.3,36.0
2022-23 / Overall,2022-23,2022-23,2022,50,10,Entire Network,Overall,Overall,Overall,Overall,6.4,42.0
2022-23 / Overall,2022-23,2022-23,2022,51,11,Entire Network,Overall,Overall,Overall,Overall,5.6,48.0
2022-23 / Overall,2022-23,2022-23,2022,52,12,Entire Network,Overall,Overall,Overall,Overall,5.2,53.0
2022-23 / Overall,2022-23,2022-23,2023,1,13,Entire Network,Overall,Overall,Overall,Overall,3.0,56.0
2022-23 / Overall,2022-23,2022-23,2023,2,14,Entire Network,Overall,Overall,Overall,Overall,1.3,57.0
2022-23 / Overall,2022-23,2022-23,2023,3,15,Entire Network,Overall,Overall,Overall,Overall,0.8,58.0
2022-23 / Overall,2022-23,2022-23,2023,4,16,Entire Network,Overall,Overall,Overall,Overall,0.5,59.0
2022-23 / Overall,2022-23,2022-23,2023,5,17,Entire Network,Overall,Overall,Overall,Overall,0.4,59.0
2022-23 / Overall,2022-23,2022-23,2023,6,18,Entire Network,Overall,Overall,Overall,Overall,0.3,59.0
2022-23 / Overall,2022-23,2022-23,2023,7,19,Entire Network,Overall,Overall,Overall,Overall,0.3,60.0
2022-23 / Overall,2022-23,2022-23,2023,8,20,Entire Network,Overall,Overall,Overall,Overall,0.3,60.0
2022-23 / Overall,2022-23,2022-23,2023,9,21,Entire Network,Overall,Overall,Overall,Overall,0.2,60.0
2022-23 / Overall,2022-23,2022-23,2023,10,22,Entire Network,Overall,Overall,Overall,Overall,0.3,61.0
2022-23 / Overall,2022-23,2022-23,2023,11,23,Entire Network,Overall,Overall,Overall,Overall,0.3,61.0
2022-23 / Overall,2022-23,2022-23,2023,12,24,Entire Network,Overall,Overall,Overall,Overall,0.3,61.0
2022-23 / Overall,2022-23,2022-23,2023,13,25,Entire Network,Overall,Overall,Overall,Overall,0.2,61.0
2022-23 / Overall,2022-23,2022-23,2023,14,26,Entire Network,Overall,Overall,Overall,Overall,0.2,62.0
2022-23 / Overall,2022-23,2022-23,2023,15,27,Entire Network,Overall,Overall,Overall,Overall,0.2,62.0
2022-23 / Overall,2022-23,2022-23,2023,16,28,Entire Network,Overall,Overall,Overall,Overall,0.2,62.0
2022-23 / Overall,2022-23,2022-23,2023,17,29,Entire Network,Overall,Overall,Overall,Overall,0.1,62.0
2022-23 / Overall,2022-23,2022-23,2023,18,30,Entire Network,Overall,Overall,Overall,Overall,0.0,62.0
2023-24 / Overall,2023-24,2023-24,2023,40,0,Entire Network,Overall,Overall,Overall,Overall,0.2,0.0
2023-24 / Overall,2023-24,2023-24,2023,41,1,Entire Network,Overall,Overall,Overall,Overall,0.2,0.0
2023-24 / Overall,2023-24,2023-24,2023,42,2,Entire Network,Overall,Overall,Overall,Overall,0.3,1.0
2023-24 / Overall,2023-24,2023-24,2023,43,3,Entire Network,Overall,Overall,Overall,Overall,0.3,1.0
2023-24 / Overall,2023-24,2023-24,2023,44,4,Entire Network,Overall,Overall,Overall,Overall,0.5,1.0
2023-24 / Overall,2023-24,2023-24,2023,45,5,Entire Network,Overall,Overall,Overall,Overall,0.8,2.0
2023-24 / Overall,2023-24,2023-24,2023,46,6,Entire Network,Overall,Overall,Overall,Overall,0.9,3.0
2023-24 / Overall,2023-24,2023-24,2023,47,7,Entire Network,Overall,Overall,Overall,Overall,1.4,5.0
2023-24 / Overall,2023-24,2023-24,2023,48,8,Entire Network,Overall,Overall,Overall,Overall,2.1,7.0
2023-24 / Overall,2023-24,2023-24,2023,49,9,Entire Network,Overall,Overall,Overall,Overall,2.9,10.0
2023-24 / Overall,2023-24,2023-24,2023,50,10,Entire Network,Overall,Overall,Overall,Overall,4.1,14.0
2023-24 / Overall,2023-24,2023-24,2023,51,11,Entire Network,Overall,Overall,Overall,Overall,6.7,20.0
2023-24 / Overall,2023-24,2023-24,2023,52,12,Entire Network,Overall,Overall,Overall,Overall,8.9,29.0
2023-24 / Overall,2023-24,2023-24,2024,1,13,Entire Network,Overall,Overall,Overall,Overall,6.9,36.0
2023-24 / Overall,2023-24,2023-24,2024,2,14,Entire Network,Overall,Overall,Overall,Overall,5.4,42.0
2023-24 / Overall,2023-24,2023-24,2024,3,15,Entire Network,Overall,Overall,Overall,Overall,4.2,46.0
2023-24 / Overall,2023-24,2023-24,2024,4,16,Entire Network,Overall,Overall,Overall,Overall,3.9,50.0
2023-24 / Overall,2023-24,2023-24,2024,5,17,Entire Network,Overall,Overall,Overall,Overall,3.5,53.0
2023-24 / Overall,2023-24,2023-24,2024,6,18,Entire Network,Overall,Overall,Overall,Overall,3.5,57.0
2023-24 / Overall,2023-24,2023-24,2024,7,19,Entire Network,Overall,Overall,Overall,Overall,3.3,60.0
2023-24 / Overall,2023-24,2023-24,2024,8,20,Entire Network,Overall,Overall,Overall,Overall,3.3,63.0
2023-24 / Overall,2023-24,2023-24,2024,9,21,Entire Network,Overall,Overall,Overall,Overall,3.3,67.0
2023-24 / Overall,2023-24,2023-24,2024,10,22,Entire Network,Overall,Overall,Overall,Overall,2.7,69.0
2023-24 / Overall,2023-24,2023-24,2024,11,23,Entire Network,Overall,Overall,Overall,Overall,2.1,72.0
2023-24 / Overall,2023-24,2023-24,2024,12,24,Entire Network,Overall,Overall,Overall,Overall,1.9,73.0
2023-24 / Overall,2023-24,2023-24,2024,13,25,Entire Network,Overall,Overall,Overall,Overall,1.7,75.0
2023-24 / Overall,2023-24,2023-24,2024,14,26,Entire Network,Overall,Overall,Overall,Overall,1.7,77.0
2023-24 / Overall,2023-24,2023-24,2024,15,27,Entire Network,Overall,Overall,Overall,Overall,1.3,78.0
2023-24 / Overall,2023-24,2023-24,2024,16,28,Entire Network,Overall,Overall,Overall,Overall,0.9,79.0
2023-24 / Overall,2023-24,2023-24,2024,17,29,Entire Network,Overall,Overall,Overall,Overall,0.7,80.0
2023-24 / Overall,2023-24,2023-24,2024,18,30,Entire Network,Overall,Overall,Overall,Overall,0.5,80.0
2023-24 / Overall,2023-24,2023-24,2024,19,31,Entire Network,Overall,Overall,Overall,Overall,0.4,80.0
2023-24 / Overall,2023-24,2023-24,2024,20,32,Entire Network,Overall,Overall,Overall,Overall,0.3,81.0
2023-24 / Overall,2023-24,2023-24,2024,21,33,Entire Network,Overall,Overall,Overall,Overall,0.3,81.0
2023-24 / Overall,2023-24,2023-24,2024,22,34,Entire Network,Overall,Overall,Overall,Overall,0.3,81.0
2023-24 / Overall,2023-24,2023-24,2024,23,35,Entire Network,Overall,Overall,Overall,Overall,0.2,82.0
2023-24 / Overall,2023-24,2023-24,2024,24,36,Entire Network,Overall,Overall,Overall,Overall,0.2,82.0
2023-24 / Overall,2023-24,2023-24,2024,25,37,Entire Network,Overall,Overall,Overall,Overall,0.2,82.0
2023-24 / Overall,2023-24,2023-24,2024,26,38,Entire Network,Overall,Overall,Overall,Overall,0.2,82.0
2023-24 / Overall,2023-24,2023-24,2024,27,39,Entire Network,Overall,Overall,Overall,Overall,0.2,82.0
2023-24 / Overall,2023-24,2023-24,2024,28,40,Entire Network,Overall,Overall,Overall,Overall,0.2,82.0
2023-24 / Overall,2023-24,2023-24,2024,29,41,Entire Network,Overall,Overall,Overall,Overall,0.1,83.0
2023-24 / Overall,2023-24,2023-24,2024,30,42,Entire Network,Overall,Overall,Overall,Overall,0.1,83.0
2023-24 / Overall,2023-24,2023-24,2024,31,43,Entire Network,Overall,Overall,Overall,Overall,0.1,83.0
2023-24 / Overall,2023-24,2023-24,2024,32,44,Entire Network,Overall,Overall,Overall,Overall,0.1,83.0
2023-24 / Overall,2023-24,2023-24,2024,33,45,Entire Network,Overall,Overall,Overall,Overall,0.1,83.0
2023-24 / Overall,2023-24,2023-24,2024,34,46,Entire Network,Overall,Overall,Overall,Overall,0.1,83.0
2023-24 / Overall,2023-24,2023-24,2024,35,47,Entire Network,Overall,Overall,Overall,Overall,0.1,83.0
2023-24 / Overall,2023-24,2023-24,2024,36,48,Entire Network,Overall,Overall,Overall,Overall,0.1,83.0
2023-24 / Overall,2023-24,2023-24,2024,37,49,Entire Network,Overall,Overall,Overall,Overall,0.1,83.0
2023-24 / Overall,2023-24,2023-24,2024,38,50,Entire Network,Overall,Overall,Overall,Overall,0.1,83.0
2023-24 / Overall,2023-24,2023-24,2024,39,51,Entire Network,Overall,Overall,Overall,Overall,0.1,83.0
2024-25 / Overall,2024-25,2024-25,2024,40,0,Entire Network,Overall,Overall,Overall,Overall,0.1,0.0
2024-25 / Overall,2024-25,2024-25,2024,41,1,Entire Network,Overall,Overall,Overall,Overall,0.1,0.0
2024-25 / Overall,2024-25,2024-25,2024,42,2,Entire Network,Overall,Overall,Overall,Overall,0.2,0.0
2024-25 / Overall,2024-25,2024-25,2024,43,3,Entire Network,Overall,Overall,Overall,Overall,0.2,1.0
2024-25 / Overall,2024-25,2024-25,2024,44,4,Entire Network,Overall,Overall,Overall,Overall,0.2,1.0
2024-25 / Overall,2024-25,2024-25,2024,45,5,Entire Network,Overall,Overall,Overall,Overall,0.3,1.0
2024-25 / Overall,2024-25,2024-25,2024,46,6,Entire Network,Overall,Overall,Overall,Overall,0.4,2.0
2024-25 / Overall,2024-25,2024-25,2024,47,7,Entire Network,Overall,Overall,Overall,Overall,0.5,2.0
2024-25 / Overall,2024-25,2024-25,2024,48,8,Entire Network,Overall,Overall,Overall,Overall,0.6,3.0
2024-25 / Overall,2024-25,2024-25,2024,49,9,Entire Network,Overall,Overall,Overall,Overall,1.2,4.0
2024-25 / Overall,2024-25,2024-25,2024,50,10,Entire Network,Overall,Overall,Overall,Overall,2.1,6.0
2024-25 / Overall,2024-25,2024-25,2024,51,11,Entire Network,Overall,Overall,Overall,Overall,3.8,10.0
2024-25 / Overall,2024-25,2024-25,2024,52,12,Entire Network,Overall,Overall,Overall,Overall,7.7,17.0
2024-25 / Overall,2024-25,2024-25,2025,1,13,Entire Network,Overall,Overall,Overall,Overall,10.1,27.0
2024-25 / Overall,2024-25,2024-25,2025,2,14,Entire Network,Overall,Overall,Overall,Overall,8.4,36.0
2024-25 / Overall,2024-25,2024-25,2025,3,15,Entire Network,Overall,Overall,Overall,Overall,9.2,45.0
2024-25 / Overall,2024-25,2024-25,2025,4,16,Entire Network,Overall,Overall,Overall,Overall,10.9,56.0
2024-25 / Overall,2024-25,2024-25,2025,5,17,Entire Network,Overall,Overall,Overall,Overall,13.4,69.0
2024-25 / Overall,2024-25,2024-25,2025,6,18,Entire Network,Overall,Overall,Overall,Overall,13.5,83.0
2024-25 / Overall,2024-25,2024-25,2025,7,19,Entire Network,Overall,Overall,Overall,Overall,10.6,93.0
2024-25 / Overall,2024-25,2024-25,2025,8,20,Entire Network,Overall,Overall,Overall,Overall,8.4,102.0
2024-25 / Overall,2024-25,2024-25,2025,9,21,Entire Network,Overall,Overall,Overall,Overall,6.7,109.0
2024-25 / Overall,2024-25,2024-25,2025,10,22,Entire Network,Overall,Overall,Overall,Overall,4.8,113.0
2024-25 / Overall,2024-25,2024-25,2025,11,23,Entire Network,Overall,Overall,Overall,Overall,3.8,117.0
2024-25 / Overall,2024-25,2024-25,2025,12,24,Entire Network,Overall,Overall,Overall,Overall,2.6,120.0
2024-25 / Overall,2024-25,2024-25,2025,13,25,Entire Network,Overall,Overall,Overall,Overall,2.0,122.0
2024-25 / Overall,2024-25,2024-25,2025,14,26,Entire Network,Overall,Overall,Overall,Overall,1.6,123.0
2024-25 / Overall,2024-25,2024-25,2025,15,27,Entire Network,Overall,Overall,Overall,Overall,1.1,124.0
2024-25 / Overall,2024-25,2024-25,2025,16,28,Entire Network,Overall,Overall,Overall,Overall,0.8,125.0
2024-25 / Overall,2024-25,2024-25,2025,17,29,Entire Network,Overall,Overall,Overall,Overall,0.7,126.0
2024-25 / Overall,2024-25,2024-25,2025,18,30,Entire Network,Overall,Overall,Overall,Overall,0.3,126.0
