t,actual,full_fit_prediction,test_forecast_prediction,segment,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95
32,0.8,1.6431826122570385,1.640809063527408,validation,1.166331258054889,2.163633430555742,0.6999681975829408,2.6672008975296544,0.15053287404383867,3.311887444851007
33,0.9,1.4459629185308462,1.4437605001695646,validation,0.8222984358939582,1.9419816080876744,0.14740993452911516,2.5308411005818514,-0.576891524167566,3.1003551496150195
34,0.9,1.272414155258624,1.2703759625824396,validation,0.7970211792157329,2.1144163289967834,0.14486575745904465,2.7152444387036314,-0.5707539884145665,3.5976297070538377
35,0.5,1.1196952382121284,1.1178135769200936,validation,0.5271549892049956,1.671707479033682,0.029519171220743812,2.0743676725421722,-0.45052119860876666,2.542083993209129
36,0.5,0.9853061007637195,0.9835727613615586,validation,0.29857052558893327,1.545809782985355,-0.21192255148719932,1.9997268343587304,-1.0178337770370327,3.1650660541141984
37,0.8,0.8670467464817389,0.865453235776228,validation,0.36333021711165453,1.3991738191236853,-0.2680396601430604,2.1015839024407765,-0.8919950557681261,2.9004102187623295
38,0.4,0.7629812303377536,0.7615189570452202,validation,0.19043697515592659,1.2705010700440242,-0.45139910375924625,1.8136192614960505,-1.175786725304426,2.796332281807913
39,0.5,0.6714059655882346,0.6700663860354119,validation,0.11209399863532321,1.1888198098920169,-0.4306300773711398,1.796986718843337,-0.806579175871215,2.551518188046837
40,0.6,0.5908218351746246,0.5895965655996955,validation,0.015779407320196837,1.059203908363866,-0.6465583656797453,1.629729468081931,-1.3277327208099523,2.1846773288758343
41,0.4,0.5199096505716486,0.5187905518329182,test,0.023758744271192553,0.9942533638157642,-0.5290783631388423,1.5240384094809967,-1.8390524001723816,2.2487085099332136
42,0.2,0.4575085561951007,0.4564877958576321,test,-0.06474793118389907,1.11595259850117,-0.7960108739388346,1.5863851789622931,-1.4624971604463906,2.527247655134682
43,0.2,0.4025970257977975,0.4016671217957716,test,-0.1925616360285069,0.8976087268849391,-0.7211694978737058,1.4672258763012387,-1.5290679246193708,2.573857103858715
44,0.4,0.3542761397429201,0.3534299891415348,test,-0.0954011461196094,1.0113884720895001,-0.7072869434815011,1.5761210559339531,-1.942700392378769,1.978419624637358
45,0.3,0.3117548693922482,0.31098576519539417,test,-0.23861695935949845,0.8723029643025204,-0.6592875783223782,1.323424553166124,-1.8731747371164327,2.146888029146476
46,0.2,0.2743371277074137,0.2736387661659173,test,-0.20461760114683092,0.852726076284722,-0.7426001080008839,1.3961886377982342,-1.375339315798831,2.198206227589396
47,0.3,0.24141037407717553,0.24077685453580014,test,-0.3413420620453568,0.6579322022740621,-1.2747962819314262,1.2355453073601304,-2.153235900810488,1.8366450929369247
48,0.3,0.21243558682749614,0.2118614057966578,test,-0.36661545400200457,0.7425715284095734,-1.088041817281545,1.2213588976981737,-1.687639965444127,2.436243104593265
49,0.3,0.18693843926087572,0.18641848010187,test,-0.5544343167707382,0.7249460257660804,-1.1973807914798087,1.1615877055628048,-2.246692964786639,1.685823500498344
50,0.4,0.16450153477369162,0.16403105413606378,test,-0.6658009380356658,0.6415146181694049,-1.309732797239226,1.1139568485966056,-2.0902077618404102,2.077393971989208
51,0.0,0.14475757393779892,0.14433218587735316,test,-0.34293064299154824,0.6277071910894706,-0.9228202837864807,1.1633181736718852,-1.7577292917762304,1.79170612182225
