t,actual,full_fit_prediction,test_forecast_prediction,segment,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95
23,2.1,1.8063507357024873,1.8341917502987952,train,1.480888187325773,1.9707199691905473,1.3878801819624966,2.153620977238014,1.2509067257837296,2.4888430394650234
24,1.9,1.7525251548458758,1.738398965405079,train,1.5379110317806095,1.9810270409508943,1.418536398985561,2.069541376278597,1.1403997970021826,2.1897722495787932
25,1.7,1.4014424746037057,1.4224862844678783,train,1.226870379388737,1.5219813666715636,1.0189121277664577,1.7333656264147086,0.8714756100409015,1.9792645582223904
26,1.7,1.327455576778259,1.326776291081671,train,1.132794023327066,1.5802892678643294,0.9995777738414215,1.7021456606384413,0.5304189762772662,1.7644130276790062
27,1.3,1.1127189313259596,1.1240570655404711,train,0.9914188367852542,1.4279489270465162,0.6448382843005439,1.629248848323478,0.5650328142123774,1.742381783561501
28,0.9,0.9982821950650479,1.0059376439173344,train,0.7605241276686561,1.154206842191285,0.6331897526993404,1.323212878450566,0.5000688870471126,1.5366540346738793
29,0.7,0.8717364834779016,0.8800292625085662,train,0.7107980174091394,0.9605975776515048,0.3670284132409773,1.0858058347609065,0.1365697873348169,1.2717624815592707
30,0.5,0.7669559339433076,0.7749170650721634,train,0.5404278329296432,0.7973046119923904,0.36625162185478405,0.9268555970671353,0.18170720453612682,1.0584567451666578
31,0.4,0.6741539724465282,0.6817505746193404,validation,0.48039015189762513,0.8926819374185297,0.3373569657053619,1.0018442590597345,0.2120551773802873,1.2889738245936784
32,0.3,0.5925897229896272,0.5997999624756299,validation,0.28170106126685257,0.7558149070957555,0.10225381750052977,1.261169878617506,0.012508933981863545,1.7974799864364717
33,0.3,0.5208945313406532,0.527701491090143,validation,0.3554244794442849,0.5804943030747745,0.1427937464472263,0.7978121850073603,0.02562206710829882,1.0839792404754602
34,0.3,0.45787360647439473,0.46426974834523016,validation,0.30530605679695877,0.7310996803434274,0.0,0.7977661374596138,0.0,0.9023881555095292
35,0.2,0.4024773625671312,0.4084627899451084,validation,0.2588688202101161,0.5181509789887118,0.19920507267280313,0.628320606503233,0.046138672777210316,0.78109431300199
36,0.2,0.35378329302456096,0.3593640505719421,validation,0.13792806817186978,0.4767777516904046,0.03487241938598759,0.7080970373255163,0.0,0.779420343243887
37,0.2,0.31098052136322435,0.31616716664825767,validation,0.16891386358181612,0.4443101612812702,0.054439240978152705,0.5256264987967406,0.0,0.8196253912347894
38,0.2,0.2733562810551734,0.278162709662677,validation,0.07465766431160477,0.3923446480594577,0.01072832766435659,0.6267453453496251,0.0,0.7915227837791633
39,0.2,0.24028404197626801,0.244726529314249,validation,0.13545363189569892,0.5025035250958513,0.003545140235706916,0.704461183341823,0.0,0.7681872252694117
40,0.2,0.211213075925986,0.2153095013057953,validation,0.1274027205350487,0.40015733645846696,0.0,0.5218059206969142,0.0,0.6911457097451068
41,0.1,0.18565928528724035,0.18942850844521056,test,0.010365882258594451,0.4438480790994449,0.0,0.6854146021343763,0.0,0.7588997470085046
42,0.1,0.16319714152130788,0.16665850615774844,test,0.0,0.3374236842765919,0.0,0.5016277533001335,0.0,0.5794267232372802
43,0.1,0.1434525990756992,0.14662554186335092,test,0.0,0.36574973489173657,0.0,0.692185878725502,0.0,0.9789222188465909
44,0.1,0.12609686664292677,0.12900061349436115,test,0.0,0.273501051754803,0.0,0.4171707428750603,0.0,0.7384079091340812
45,0.1,0.11084093202356138,0.11349426626087505,test,0.0,0.2523758850014876,0.0,0.4147216986349989,0.0,1.471982410242243
46,0.1,0.09743074941019972,0.09985183891347055,test,0.0,0.3276330399861893,0.0,0.49320008525060693,0.0,0.6545015867496132
47,0.1,0.08564300894530535,0.08784928142689473,test,0.0,0.27202015134366825,0.0,0.39875624645182256,0.0,0.5335102245533951
48,0.1,0.0752814181044049,0.0772894754157509,test,0.0,0.1739542175301639,0.0,0.31818121314524345,0.0,0.5322456175069136
49,0.1,0.06617343298022121,0.06799899685094593,test,0.0,0.2279904866673835,0.0,0.49575645101109456,0.0,0.7585891765805896
50,0.1,0.058167385035678754,0.05982526791019211,test,0.0,0.27192092148039826,0.0,0.47555006366054575,0.0,0.7657231352072007
51,0.0,0.0511299554793949,0.05263405118690762,test,0.004611859087614041,0.26550589189304213,0.0,0.3700422713742817,0.0,0.548466531081645
